Total Records: 150
Endpoint URL: https://australiasoutheast.snowsoftware.io/api/sam/estate/v1/dcc
_links,description,hypervisor,id,isAutoGenerated,isHighAvailability,isHypervisorFromSIM,isVMwareDRS,name,organizationId
"[{'href': '/api/sam/estate/v1/dcc/019e6ad0-bf8e-7cee-9abc-fc927177e83d', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),3d541d8c-e202-41f7-8110-2fb42a8de0e8,019e6ad0-bf8e-7cee-9abc-fc927177e83d,True,True,True,True,ALC/DR_CLUSTER,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8ef6-be3d-74c4-80cd-fedb409d1b8f', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8ef6-be3d-74c4-80cd-fedb409d1b8f,True,False,True,False,All Hosts\CORP\CORP-Backend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8ee6-1855-7969-95ca-a06c161311cf', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8ee6-1855-7969-95ca-a06c161311cf,True,False,True,False,All Hosts\CORP\CORP-Frontend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8ee5-a03a-7d82-8f45-243882542487', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8ee5-a03a-7d82-8f45-243882542487,True,False,True,False,All Hosts\SAND\SAND-Backend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8ee5-7b11-7c91-bff8-337f908f02dc', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8ee5-7b11-7c91-bff8-337f908f02dc,True,False,True,False,All Hosts\SAND\SAND-Frontend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8eb8-2265-798c-88f2-74e5c896016e', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8eb8-2265-798c-88f2-74e5c896016e,True,False,True,False,All Hosts\WiseCloud Backend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/864a1528-8b68-42c0-9895-a4460cde91c3', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,864a1528-8b68-42c0-9895-a4460cde91c3,True,False,True,False,All Hosts\WiseCloud Backend\Experimental,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/019c8eb8-3879-7b0c-a848-8c7e08925737', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,019c8eb8-3879-7b0c-a848-8c7e08925737,True,False,True,False,All Hosts\WiseCloud Frontend,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/17b9be68-8b5a-4404-8d6a-60a9772733ee', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,17b9be68-8b5a-4404-8d6a-60a9772733ee,True,False,True,False,All Hosts\WiseCloud SQL\DR,f213a91c-dcef-492f-b5d5-59f522bdbdc2
"[{'href': '/api/sam/estate/v1/dcc/cd4ad2b1-19ff-4bf4-b443-dc9024c6e1dd', 'method': 'GET', 'rel': 'details'}]",Datacenter (auto generated),52b9b2d8-73bc-437e-a9f2-2638d07d22d2,cd4ad2b1-19ff-4bf4-b443-dc9024c6e1dd,True,False,True,False,All Hosts\wisecloud.zone\311\ordwp-hfx2-4,f213a91c-dcef-492f-b5d5-59f522bdbdc2
