Total Records: 972945
Endpoint URL: https://australiasoutheast.snowsoftware.io/api/sam/software-registry/v1/applications
_links,editionIndex,familyId,id,isBundle,isEndOfExtendedSupport,isEndOfExtendedSupportDateNotAnnounced,isEndOfLife,isEndOfLifeDateNotAnnounced,isEndOfSupport,isEndOfSupportDateNotAnnounced,isGloballyGeneratedApplication,isGroup,isHidden,isNoLicenseRequired,isOs,isReleaseDateNotAnnounced,isWebApplication,manufacturer,manufacturerId,metrics,name,platform,updatedDate,versionIndex
"[{'href': '/api/sam/software-registry/v1/applications/6ea0c857-7115-4daa-863d-000003b00cc4', 'method': 'GET', 'rel': 'details'}]",100,47e852ae-ceaf-4c49-99fd-b5360a13a2b7,6ea0c857-7115-4daa-863d-000003b00cc4,False,False,True,False,True,False,True,True,False,False,False,False,True,False,WebCatalog,8f25e446-9798-43d5-a5b2-18f9b9b47aa4,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",WebCatalog 70,Windows,2026-05-19T22:36:34.18Z,10700
"[{'href': '/api/sam/software-registry/v1/applications/5be51be2-35ff-48f2-9214-00002248b242', 'method': 'GET', 'rel': 'details'}]",100,8496c20f-f639-4047-a4c0-b2f698e7442f,5be51be2-35ff-48f2-9214-00002248b242,False,False,True,False,True,False,True,True,True,False,False,False,True,False,UNETsystem,23f254b1-779a-4769-bc63-e5f5f43e34f8,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",Anyclick AUS 5,Windows,2026-05-26T22:01:49.007Z,10050
"[{'href': '/api/sam/software-registry/v1/applications/eb9c76b2-090a-4bfc-8985-00004a2d78b6', 'method': 'GET', 'rel': 'details'}]",100,79611771-02e2-4c37-b1d6-df8ab8bfe55b,eb9c76b2-090a-4bfc-8985-00004a2d78b6,False,False,True,False,True,False,True,True,False,False,False,False,False,False,Enghouse Interactive,08cee8b8-6c8c-4cb5-8ddb-54b85af15d7a,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",InteractionStudio 10,Windows,2026-03-28T17:00:01.143Z,10100
"[{'href': '/api/sam/software-registry/v1/applications/2a2fdab2-1ad3-46ce-a808-00004ee9a4c3', 'method': 'GET', 'rel': 'details'}]",100,1e44086a-6abd-4547-bd8d-3cb9e71abfbc,2a2fdab2-1ad3-46ce-a808-00004ee9a4c3,False,False,True,False,True,False,True,True,False,False,False,False,True,False,iGrafx GmbH,71831bb7-d14b-43e3-b1ee-ce4458b54cdb,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",iGrafx FlowCharter 2011,Windows,2026-04-19T17:00:01.307Z,12011
"[{'href': '/api/sam/software-registry/v1/applications/647cf764-07bf-4fd5-bc4b-000065500429', 'method': 'GET', 'rel': 'details'}]",100,17fd9ca1-8ed5-4076-aaf7-838371854846,647cf764-07bf-4fd5-bc4b-000065500429,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Deltek Inc.,4dd8c674-cbf4-4681-a060-d1d5470d0cde,"[{'id': 'c991eb41-6c53-4158-a4c9-ae5f477fe567', 'isDefault': True, 'name': 'TotalDevices'}]",TS-wInsight Analytics 8,Windows,2026-04-23T17:00:01.157Z,10080
"[{'href': '/api/sam/software-registry/v1/applications/0c793507-eca8-4d21-80bf-0000896fac0f', 'method': 'GET', 'rel': 'details'}]",0,,0c793507-eca8-4d21-80bf-0000896fac0f,False,False,True,False,True,False,True,True,False,False,True,False,True,False,"Apps From Outer Space, LLC",0605320c-a6b7-43c5-b731-45e7087192ba,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",Flashlight. 8 (iOS),iOS,2026-05-19T22:36:34.18Z,0
"[{'href': '/api/sam/software-registry/v1/applications/39f2fb9b-a347-447f-8242-00008ab6967c', 'method': 'GET', 'rel': 'details'}]",100,2f4bb7e3-425e-4261-bb68-66892c4a9ee2,39f2fb9b-a347-447f-8242-00008ab6967c,False,False,True,False,True,False,True,True,False,False,False,False,True,False,X-OOM,a7d4dd33-778a-422b-9260-95bd6c35cd7b,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",X-OOM Music Clean 4,Windows,2026-04-20T10:58:30.967Z,10040
"[{'href': '/api/sam/software-registry/v1/applications/aace1b4e-493a-4932-a45c-0000a928a77d', 'method': 'GET', 'rel': 'details'}]",100,e96bd208-8485-4896-8750-a7463a855c2e,aace1b4e-493a-4932-a45c-0000a928a77d,False,False,True,False,True,False,True,True,False,False,False,False,True,False,LambdaTest,7ddb598d-f9e1-4e36-91f8-03c1b426fdbb,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",UnderPass 3 (Mac),MacOSX,2026-03-23T17:00:00.18Z,10030
"[{'href': '/api/sam/software-registry/v1/applications/80cf9c70-2f60-4fb3-b7a2-0000abbe6c75', 'method': 'GET', 'rel': 'details'}]",100,fbb37d09-9deb-402a-89e0-ee3abe7ed41a,80cf9c70-2f60-4fb3-b7a2-0000abbe6c75,False,False,True,False,True,False,True,True,False,False,False,False,True,False,nanoCom,8a434db5-aac8-4794-9ef1-55a9d01c592e,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",iSpQ VideoChat 9,Windows,2026-05-27T22:01:35.667Z,10090
"[{'href': '/api/sam/software-registry/v1/applications/4d507d6f-1264-4d72-8cb0-0000acb60603', 'method': 'GET', 'rel': 'details'}]",100,8b1e2561-78b0-404e-b795-42f49967e7c1,4d507d6f-1264-4d72-8cb0-0000acb60603,False,False,True,False,True,False,True,True,False,False,False,False,True,False,"General Programming, Inc",c6807846-0a54-421b-9d7e-d61dd1dc5e1d,"[{'id': '5891a1d8-7fb0-45bd-b1f6-01c943f9c572', 'isDefault': True, 'name': 'Installations'}]",PayBreeze 2003-E,Windows,2026-05-30T22:31:35.637Z,20035
